name,telephone number,price,location,type of car,description,link of ad
-,,-,-,-,Mercedes-Benz GLA 200 AMG Fully Loaded Model 2026 Te / [redacted phone number]#(01004712913) / [redacted phone number]#(01050902439) / [redacted phone number]#(01050902438) العنوان الشيخ زايد واصله دهشور مدخل 4 بعد ,https://www.dubizzle.com.eg/ad/mercedes-benz-gla-200-2026-ID205782524.html
-,,-,-,-,هيونداى النترا CN7 2025 افراج جمركى مثبت فاميه اعلى مواصفات بالعالم خليجى المواصفه الكوري سياره من الجيل السادس فتيس 8 سرعات موفر للبنزين استهلاك الوقود: ٥ لتر/١٠٠ كيلو كرسى كهرباء سبويلر خلفى بصمه داخليه وخارجيه فت,https://www.dubizzle.com.eg/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%A5%D9%84%D9%8A%D9%86%D8%AA%D8%B1%D8%A7-cn7-2025-%D8%AA%D9%88%D8%A8-%D9%84%D8%A7%D9%8A%D9%86-%D8%B2%D9%8A%D8%B1%D9%88-ID205898546.html
-,,-,-,-,عربية بحالة ممتازه سقف بانوراما بالكامل جنوط عريضة ABS تحكم كامل بالطارة و رخصة ساريه لنهايه 2027,https://www.dubizzle.com.eg/ad/%D9%83%D9%8A%D8%A7-%D8%B3%D9%88%D9%84-2015-ID205887041.html
-,,-,-,-,بيجو 301 موديل 2016 Allure توب لاين - لون بترولي فابريكة بالكامل - ⁠عداد (250) الف كم صيانات توكيل من الزيرو - ⁠ رخصة سنتين مرور القاهرة - ⁠الكماليات ( ٤ زجاج كهرباء - تكييف تاتش - تاره مالتي - مرايات كهرباء - جنوط ,https://www.dubizzle.com.eg/ad/%D8%A8%D9%8A%D8%AC%D9%88-301-2016-ID205877633.html
-,,-,-,-,"Range Rover Sport Fully Loaded Model 2021 60,000km Available at #Zizo_Automotive Engine: 2.0L 4-Cylinder turbo Power: 300 Hp Torque: 400 Nm Exterior: Silver Interior: Black R21 Keyless entry with smart key Electric ",https://www.dubizzle.com.eg/ad/range-rover-sport-p300-2021-ID205866727.html
-,,-,-,-,"Mazda 3 2010 80,000 KM dealer Maintenance New Tiers Perfect Condition 3 years license",https://www.dubizzle.com.eg/ad/mazda-3-2010-ID205876866.html
-,,-,-,-,سوزوكي بالينو الآن من الليثي اوتو جروب بأقل مقدم وأستلام فوري الآن من معارض الليثي اوتو جروب في القاهرة و الجيزة والشيخ زايد كاش او بالتقسيط من خلال جميع البنوك وجميع تطبيقات التقسيط حتى 10 سنوات بصورة البطاقة فقط. ,https://www.dubizzle.com.eg/ad/%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D8%A8%D8%A7%D9%84%D9%8A%D9%86%D9%88-suzuki-baleno-ID205124704.html
-,,-,-,-,"Peugeot 508 Allure 2022 75,000 km Excellent condition All services made by agency السيارة بحالة ممتازة و جميع الصيانات بالتوكيل و بها كاوتش جديد و طبقة حماية بالضمان و رخصة سنتين #Driven_Auto [redacted phone number]",https://www.dubizzle.com.eg/ad/%D8%A8%D9%8A%D8%AC%D9%88-508-2022-ID205726181.html
-,,-,-,-,Hyundai Tucson Zero Model 2024 and not 2025 Hyundai Tucson 2024 Engine: Turbo 1.6 liters (1600 cc) / Horsepower: 180 hp / Torque: 265 Nm / Dual-zone air conditioning / Wireless charging for phones / LED ambient ligh,https://www.dubizzle.com.eg/ad/hyundai-tucson-2024-mid-night-%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%AA%D9%88%D8%B3%D8%A7%D9%86-ID205855594.html
-,,-,-,-,ماتريكس ٢٠٠٨ صالون بحاله الفبريكا رشه كلها ماعدا السقف ١٨٠ الف كم,https://www.dubizzle.com.eg/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D9%85%D8%A7%D8%AA%D8%B1%D9%8A%D9%83%D8%B3-2008-ID205850005.html
-,,-,-,-,تسليم فوري من معرض V22auto نيسان X-Trail E power موديل 2025 اعلى فئه التواصل على [redacted phone number]#(0100 4712913) / [redacted phone number]#(01050902439),https://www.dubizzle.com.eg/ad/nissan-x-trail-tekna-2025-ID205865300.html
-,,-,-,-,c200 2023 wakil full body protection protect me full service abu ghaly graphite gray fully loaded,https://www.dubizzle.com.eg/ad/mercedes-benz-c200-2023-ID205895987.html
-,,-,-,-,زيرو ، fully loaded ، لون جراي,https://www.dubizzle.com.eg/ad/cla-200-2026-fully-loaded-%D8%B2%D9%8A%D8%B1%D9%88-ID205864483.html
-,,-,-,-,Down-payment: (سعر المقدم) - Completely new - Immediate delivery. - More color options available,https://www.dubizzle.com.eg/ad/%D8%A3%D9%88%D8%A8%D9%84-%D9%83%D9%88%D8%B1%D8%B3%D8%A7-2025-ID204918922.html
-,,-,-,-,هيونداى كريتا التواصل اتصال أو وتس من فضلكم خليجى وارد قطر رخصة سنتين ونص • المالك من الزيرو • فابريكا بالكامل بحالة الزيرو عدا اكصدام أمامي ورفرف جانبي تم عملهم في التوكيل معلومات عامة : الموديل : 2020 العداد : 103,https://www.dubizzle.com.eg/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D9%83%D8%B1%D9%8A%D8%AA%D8%A7-2020-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A-%D9%88%D8%A7%D8%B1%D8%AF-%D9%82%D8%B7%D8%B1-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%83-%D9%85%D9%86-%D8%A7%D9%84%D8%B2%D9%8A%D8%B1%D9%88-hyundai-creta-2020-ID205895340.html
-,,-,-,-,"رينج روفر سبورت ٢٠٢٠ ٩٢,٠٠٠ كم وكيل * المحرك: 2000 سي سي تيربو تشارجر * القوة الحصانية: ٣٠٠ حصان * عزم الدوران: ٤٠٠ نيوتن متر * ناقل الحركة: أوتوماتيكي ٨ سرعات * نظام الدفع: دفع رباعي * التصميم الخارجي: مصابيح أمامي",https://www.dubizzle.com.eg/ad/range-rover-sport-2020-%D8%B1%D8%A7%D9%86%D8%AC-%D8%B1%D9%88%D9%81%D8%B1-%D8%A7%D8%B3%D8%A8%D9%88%D8%B1%D8%AA-hse-%D9%88%D9%83%D9%8A%D9%84-ID205801434.html
-,,-,-,-,موديل ٢٠٢٣ عداد ٦٥،٠٠٠ الف ك الفئة الرابعة اوتوماتيك مـواصـفـة الـسيارة : موتور ١٦٠٠ cc تيربو بصمة مع فتحة سقف و بانوراما ٤ ايرباج مرايات ضم وشاشة تاتش مع كاميرا خلفيه وسينسور بارك مع شاحن وايرليس بالإضافة لجنوط تو ,https://www.dubizzle.com.eg/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%AA%D9%88%D8%B3%D8%A7%D9%86-2023-ID205855163.html
-,,-,-,-,سوزوكى ديزاير موديل 2022 حالة مميزه وبيتى جدا جدا بفضل الله تعالى اللون الموكا. * السياره عدادها 36 الف كيلو فقططططططط صيانات توكيل بالفواتير حتى الآن ومرفق معها الكتالوجات والنسخ المفاتيح البصمة الاصلي. * السياره ف,https://www.dubizzle.com.eg/ad/%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D8%AF%D9%8A%D8%B2%D8%A7%D9%8A%D8%B1-2022-%D9%83%D8%A7%D9%85%D9%84%D9%87-%D8%A7%D9%88%D8%AA%D9%88%D9%85%D8%A7%D8%AA%D9%8A%D9%83-%D8%AD%D8%A7%D9%84%D8%A9-%D9%83%D8%B3%D8%B1-%D8%A7%D9%84%D8%B2%D9%8A%D8%B1%D9%88%D9%88%D9%88%D9%88%D9%88%D9%88%D9%88-%D8%AA%D9%85%D8%A7%D9%85%D8%A7-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-ID205715739.html
-,,-,-,-,سانج يونج توريس موديل : 2023 أعلى فئه النسخه الكوري فبريكا بالكامل رخصت ولم تستخدم كافه الكماليات بفضل الله متاح تقسيط بأقل المقدمات تبدأ من 10% وفوائد تبدأ من 13% وكاش باك يصل ل 40 الف ومتاح اكتر من 60 عربيه بموديل,https://www.dubizzle.com.eg/ad/%D8%B3%D8%A7%D9%86%D8%AC-%D9%8A%D9%88%D9%86%D8%BA-%D8%AA%D9%88%D8%B1%D9%8A%D8%B32023-sang-young-torres%D8%A7%D9%84%D9%86%D8%B3%D8%AE%D9%87-%D8%A7%D9%84%D9%83%D9%88%D8%B1%D9%8A-%D8%A3%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D9%87-ID205886930.html
-,,-,-,-,سكودا كودياك سبورت لاين وكيل عداد ٣١٠٠٠ صيانات توكيل رخصه سنه فابريكا بالكامل,https://www.dubizzle.com.eg/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D9%83%D9%88%D8%AF%D9%8A%D8%A7%D9%83-2023-ID205843306.html
-,,-,-,-,Skoda Kodiaq 2024 – 19-inch wheels – Electric driver seat – Heated steering wheel – Comfort Keyless entry Light & Sight Plus – Front grille with horizontal light strip – Matrix LED headlights – Dynamic high beam ass,https://www.dubizzle.com.eg/ad/skoda-kodiaq-2024-ID205559066.html
-,,-,-,-,بي ام دبليو M Sport 2023 عداد ٢٦٦٠٠ فابريكة بالكامل . . بروتيكشن بالكامل بالضمان متاح تقسيط مع جميع البنوك المصرية وتقدر كمان تبديل بعربيتك القديمة,https://www.dubizzle.com.eg/ad/bmw-320i-ID205871768.html
-,,-,-,-,"للبيع: كيا سبورتاج 2020 – فئة متوسطة – أحمر ميتاليك •	الموديل: 2020 – الفئة: متوسطة •	المحرك: 1600 سي سي – GDI – اقتصادي في استهلاك الوقود •	الكيلومترات: 85,000 كم فقط •	ناقل الحركة: أوتوماتيك •	الحالة: فابريكة بالك",https://www.dubizzle.com.eg/ad/%D9%83%D9%8A%D8%A7-%D8%B3%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC-2020-ID205519658.html
-,,-,-,-,"⁂ أفضل عروض التقسيط من المتحدة جروب [ المنصورة ] : # مقدم السيارة : 210,000 جنيه • جميع الفئات • جميع الألوان • كاش بأميز الأسعار • أسرع موافقة بنكية خلال (24) ساعة بصورة البطاقة الشخصية • تقسيط بنكي بأفضل التسهيلات",https://www.dubizzle.com.eg/ad/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D9%87-%D8%A7%D9%88%D8%AA%D9%88-%D8%AC%D8%B1%D9%88%D8%A8-%D8%B4%D9%8A%D9%81%D8%B1%D9%88%D9%84%D9%8A%D9%87-%D8%A7%D9%88%D8%A8%D8%AA%D8%B1%D8%A7-2026-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D9%83%D9%84%D9%8A%D8%A7-%D8%A8%D8%B5%D9%88%D8%B1%D9%87-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D9%87-ID204332861.html
-,,-,-,-,بيجو ٢٠٦ موديل ٢٠٠١ لون فضي مرور الشيراتون حاله ممتازه,https://www.dubizzle.com.eg/ad/%D8%A8%D9%8A%D8%AC%D9%88-206-2001-ID205887450.html
-,,-,-,-,"Range Rover Velar Model year 2024 6000 km 2000 cc Give us a call and we will provide you all information you needed, : [redacted phone number]#(01001095081) [redacted phone number]#(01002202222) [redacted phone numb",https://www.dubizzle.com.eg/ad/range-rover-velar-2024-ID205865284.html
-,,-,-,-,ام جى اتش اس 2022 ماشيه ٩٠الف كيلو مرور التجمع الخامس صيانات لغايه ٦٠٠٠٠ في التوكيل و الباقي في chillout الرخصه ساريه سنتين فبريكا بالكامل الكوتش متغير ٢ كوتشات جداد و البطاريه جديده,https://www.dubizzle.com.eg/ad/%D8%A7%D9%85-%D8%AC%D9%89-%D8%A7%D8%AA%D8%B4-%D8%A7%D8%B3-2022-mg-hs-2022-ID205830184.html
-,,-,-,-,•• الوحيدة في مصر متوفر تسليم فوري •• السيارة R-Line اعلي فئة امكانية التقسيط بمقدم يبداء من ٢٠٪؜ التقسيط حتي ٧ سنوات بدون ( تأمين إجباري - مصاريف إدارية ) للإستفسار : [redacted phone number]#(01062707990) [redacted,https://www.dubizzle.com.eg/ad/volkswagen-t-roc-2022-ID205869886.html
-,,-,-,-,#Available_now_from_china Model 2025 - Engine type: Electric - Distance traveled in one charge: 662 km - Battery size: 87 (KWH) - Maximum Motor Power: 230 kw - Maximum Motor Torque: 360 N. M - Number of horses: 313 ,https://www.dubizzle.com.eg/ad/byd-song-l-2025-ID205740373.html
-,,-,-,-,متاح بفضل الله استلام فوري MERCEDES E200 AMG اعلى مواصفه Model 2025 Fully loaded ارخص سعر فمصررر [redacted phone number]#(٠١١١٣١١٥٩٨٦) نايت باكدچ فوانيس ديچيتال لايت كاميرا ٣٦٠ جنوط ٢٠ بصمه في الابواب بروچيكتور فتحه,https://www.dubizzle.com.eg/ad/mercedes-benz-e200-2025-ID205066811.html
-,,-,-,-,فابريكه بالكامل ماعد ا رفرف واحد فقط,https://www.dubizzle.com.eg/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%A7%D9%83%D8%B3%D9%86%D8%AA-ID205870402.html
-,,-,-,-,جيتور X70 ( 7 راكب ) موديل 2022 Luxury أعلي فئة - لون كحلي فابريكة بالكامل - ⁠عداد (95) الف صيانات توكيل بالفواتير من الزيرو - ⁠ رخصة ثلاث سنوات مرور المقطم - ⁠الكماليات ( بصمة - سقف بانوراما - كاميرا 360 - فرش جلد ,https://www.dubizzle.com.eg/ad/%D8%AC%D9%8A%D8%AA%D9%88%D8%B1-%D8%A5%D9%83%D8%B3-70-2022-ID205876046.html
-,,-,-,-,Audi A6 2023 Black X Brown Engine 2000CC Turbo / 190HP / 320 N. M Features Electronic Parking Brake Brake Assist Cruise Control Rear Parking Sensors Speed Limiter 360 Surround View Camera Panoramic Roof Keyless Star,https://www.dubizzle.com.eg/ad/audi-a6-2023-ID205542337.html
-,,-,-,-,"C180 avantgarde 2023 45,000km Sunroof Blind spot ‎متاح تقسيط مع جميع البنوك والشركات باقل مقدم واطول فتره سداد بدون حظر بيع YOUR CAR SEARCH ENDS HERE For More Information Contact Us at: [redacted phone number]#(0109",https://www.dubizzle.com.eg/ad/mercedes-benz-c180-avantgarde-2023-ID205866649.html
-,,-,-,-,Mercedes-Benz CLA 200 2022 Gray X Black (Engine) 1300CC Turbo \ 163 HP \ 250 NM \ 7 Speed Transmision (Features) Rear View Camera Cruise Control Automatic Parking Assist Keyless Entry Multi function steering wheel A,https://www.dubizzle.com.eg/ad/mercedes-benz-cla-200-2022-ID205885406.html
-,,-,-,-,Range Rover vogue Wakel 2018 FACE LIFT 130000 KM 3000cc MTI WAKEL 380hp FULLY LOADED SUPER ST Head-up display Panoramic sunroof Meridian sound system Blind Spot Electric seats with memory package Heated seats Massag,https://www.dubizzle.com.eg/ad/rang-rover-vouge-%D8%A7%D8%AE%D8%B1-2018-%D8%A7%D9%84%D8%B4%D9%83%D9%84-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF-%D9%88%D9%83%D9%8A%D9%84-ID205806293.html
